country,inflation_rate,exports_gdp_share,gdp_growth_rate,gdp_per_capita,adult_literacy_rate,primary_school_enrolment_rate,education_expenditure_gdp_share,measles_immunisation_rate,health_expenditure_gdp_share,income_inequality,unemployment_rate,life_expectancy,total_population
Poland,14.4294507575758,62.3525162455456,5.25545697386036,18891.213529396,,100.594268798828,,91.0,6.39626455,28.9,2.811,77.1560975609756,36821749.0
Portugal,7.83269124233323,49.4816821962014,6.9858417811997,24620.519556875,,109.846130371094,,98.0,10.46883011,36.3,6.011,81.6317073170732,10434332.0
Puerto Rico (US),,52.4505967392135,2.95709565499587,35353.6821570014,,,,,,,6.0,79.427,3220137.0
Qatar,4.99527553740761,68.5984131738821,4.18500970982862,88701.463352273,,94.9849319458008,,99.0,2.18112326,,0.13,81.857,2657333.0
Romania,13.7954887432521,43.3611500953615,3.96530766311717,15557.8826247584,,84.8812789916992,,83.0,5.7490139,32.3,5.614,75.1536585365854,19048502.0
Russian Federation,,27.7203033526803,-1.43588213859842,15619.6142578125,,101.136070251465,4.05402755737305,97.0,6.91986275,,3.867,72.5456097560976,144236933.0
Rwanda,17.6892095588153,22.4780615146911,8.16120720872912,975.469323979541,79.0,148.752487182617,4.74623012542725,99.0,7.8792119,,15.084,67.528,13651030.0
Samoa,10.9618822286844,12.2663826209512,-5.30629089966979,3869.46639492144,,104.122587299249,4.88079118728638,82.0,6.3012085,,5.048,71.55,215261.0
San Marino,5.32545321311365,197.412351319317,7.89844145767604,54264.570495898,100.0,93.9375,3.43181848526001,91.0,7.40650225,,,85.708,33755.0
Sao Tome and Principe,18.0056351122841,,0.168698492216564,2389.73729784737,93.75,,5.15598058700562,82.0,7.46419811,,8.992,69.237,226305.0
Saudi Arabia,2.47407371925369,35.9850098955522,12.0005874752929,38510.2276211037,,102.705947875977,,98.0,4.62462378,,5.589,77.31,32175224.0
Senegal,9.69681899081073,26.6991642240508,3.85043193735768,1574.0281059306,57.6699981689453,83.2787017822266,5.98753976821899,76.0,4.06358385,,2.837,67.788,17651103.0
Serbia,11.9815117344703,60.7493785262136,2.63098644408841,10022.9688543402,,98.8989791870117,3.23938989639282,81.0,9.65742779,32.8,8.439,75.2365853658537,6664449.0
Seychelles,2.6260363285129,90.1216033127767,12.7104688902836,16836.6721895387,,97.7654800415039,4.74013519287109,98.0,4.2375164,,,73.7024390243903,119878.0
Sierra Leone,27.2082883814653,16.7726115326261,5.3135546141915,860.774590932595,48.6399993896484,156.801918077513,8.5391845703125,90.0,7.94752312,,3.175,61.275,8276807.0
Singapore,6.13095418919732,186.114290787201,4.10800021897151,90299.0694637269,,99.5780410766602,2.48891997337341,96.0,4.89702511,,3.591,82.8951219512195,5637022.0
Sint Maarten (Dutch part),,,9.80000111145777,36476.6300833859,,,4.18044137954712,,,,,76.18,42139.0
Slovak Republic,12.7741463637611,98.9901091582711,0.437359508569173,21334.6011006572,,100.326721191406,,95.0,7.73064041,24.1,6.143,76.9658536585366,5431752.0
Slovenia,8.83369886749452,93.9826603175574,2.69923874523828,28373.8382265999,,100.639137268066,,96.0,9.60507679,24.3,4.011,81.2829268292683,2112076.0
Solomon Islands,5.51812928576938,26.2867431210615,2.40248143622522,2005.4139933198,,,8.48737812042236,90.0,4.82369328,,1.483,70.409,781066.0
Somalia,,17.6819185644341,2.72711429582147,573.128092472349,54.0,,,46.0,2.62183189,,19.05,53.931,17801897.0
South Africa,7.03987272546482,33.3714495540545,1.91147996033504,6523.41097815853,,96.1027221679688,6.16726016998291,86.0,8.77086639,,33.268,65.454,62378410.0
South Sudan,-6.68732094212668,,,,,,,72.0,6.76125622,,12.545,57.203,11021177.0
Spain,8.39057634118627,39.7551303881907,6.17931219966114,30270.2687017458,,102.445991516113,4.31587886810303,96.0,9.73828793,33.6,12.917,83.1341463414634,47786102.0
Sri Lanka,49.7211021114327,21.5595624620967,-7.34919301306745,3342.63650253855,92.0,95.9158628635578,1.20397222042084,99.0,4.36269855,,4.528,77.3,22181000.0
St. Kitts and Nevis,2.66817533111249,,10.3424040546025,20985.0112160159,,,3.63147068023682,95.0,5.56801701,,,70.313,46709.0
